NAME,ADDRESS,CITY,STATE,ZIP,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE
UNIVERSITY OF PITTSBURGH-JOHNSTOWN,450 SCHOOLHOUSE ROAD,JOHNSTOWN,PA,15904,3127,CAMBRIA,42021,USA,40.26779341,-78.83234946
SLIPPERY ROCK UNIVERSITY OF PENNSYLVANIA,1 MORROW WAY,SLIPPERY ROCK,PA,16057,9826,BUTLER,42019,USA,41.06091838,-80.05207115
THADDEUS STEVENS COLLEGE OF TECHNOLOGY,750 E KING ST,LANCASTER,PA,17602,1329,LANCASTER,42071,USA,40.03670259,-76.28984624
TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-HARTSVILLE,716 MCMURRY BLVD EAST,HARTSVILLE,TN,37074,746,TROUSDALE,47169,USA,36.38719118,-86.14365975
ROANE STATE COMMUNITY COLLEGE,276 PATTON LANE,HARRIMAN,TN,37748,6210,ROANE,47145,USA,35.8812905,-84.62076584
UNIVERSITY OF MARY HARDIN-BAYLOR,900 COLLEGE ST,BELTON,TX,76513,4568,BELL,48027,USA,31.06679838,-97.46347905
UNIVERSITY OF ST THOMAS,3800 MONTROSE BLVD,HOUSTON,TX,77006,3729,HARRIS,48201,USA,29.73643803,-95.39310219
SOUTHWEST TEXAS JUNIOR COLLEGE,2401 GARNER FIELD RD,UVALDE,TX,78801,7208,UVALDE,48463,USA,29.21967556,-99.74124468
TEXAS CHIROPRACTIC COLLEGE FOUNDATION INC,5912 SPENCER HWY,PASADENA,TX,77505,355,HARRIS,48201,USA,29.66481997,-95.15011985
AVERETT UNIVERSITY,420 W MAIN ST,DANVILLE,VA,24541,1173,DANVILLE,51590,USA,36.57727349,-79.41321423
DANVILLE COMMUNITY COLLEGE,1008 S MAIN ST,DANVILLE,VA,24541,3373,DANVILLE,51590,USA,36.56571442,-79.40854968
CAREER TECHNOLOGY CENTER OF LACKAWANNA COUNTY,3201 ROCKWELL AVE,SCRANTON,PA,18508,89,LACKAWANNA,42069,USA,41.45284925,-75.65247652
FRANKLIN COUNTY CAREER AND TECHNOLOGY CENTER,2463 LOOP ROAD,CHAMBERSBURG,PA,17202,94,FRANKLIN,42055,USA,39.89833651,-77.68741711
MERIDIAN TECHNOLOGY CENTER,1312 S SANGRE RD,STILLWATER,OK,74074,995,PAYNE,40119,USA,36.10698064,-97.10841381
PIKE COUNTY JOINT VOCATIONAL SCHOOL DISTRICT,175 BEAVER CREEK RD,PIKETON,OH,45661,41,PIKE,39131,USA,39.05404546,-83.00711292
INDIAN CAPITAL TECHNOLOGY CENTER-MUSKOGEE,2403 N 41ST ST E,MUSKOGEE,OK,74403,843,MUSKOGEE,40101,USA,35.77492117,-95.31189486
AMERITECH COLLEGE-DRAPER,12257 SOUTH BUSINESS PARK DRIVE-STE 100,DRAPER,UT,84020,693,SALT LAKE,49035,USA,40.52793248,-111.8927918
BIRMINGHAM SOUTHERN COLLEGE,900 ARKADELPHIA ROAD,BIRMINGHAM,AL,35254,1640,JEFFERSON,1073,USA,33.51304016,-86.85189424
FAULKNER UNIVERSITY,5345 ATLANTA HWY,MONTGOMERY,AL,36109,3827,MONTGOMERY,1101,USA,32.38418093,-86.21641026
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY-PRESCOTT,3700 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,3112,YAVAPAI,4025,USA,34.61614918,-112.4499603
CALIFORNIA STATE UNIVERSITY-FULLERTON,800 N STATE COLLEGE BLVD,FULLERTON,CA,92831,44662,ORANGE,6059,USA,33.88326053,-117.8856586
CALIFORNIA STATE UNIVERSITY-SACRAMENTO,6000 J ST,SACRAMENTO,CA,95819,34307,SACRAMENTO,6067,USA,38.55990059,-121.422416
COSUMNES RIVER COLLEGE,8401 CENTER PARKWAY,SACRAMENTO,CA,95823,14780,SACRAMENTO,6067,USA,38.4535796,-121.4225862
FRESNO CITY COLLEGE,1101 E. UNIVERSITY AVE,FRESNO,CA,93741,24210,FRESNO,6019,USA,36.76816401,-119.7960961
IRVINE VALLEY COLLEGE,5500 IRVINE CENTER DRIVE,IRVINE,CA,92618,14209,ORANGE,6059,USA,33.67692859,-117.7775221
LAKE TAHOE COMMUNITY COLLEGE,ONE COLLEGE DRIVE,SOUTH LAKE TAHOE,CA,96150,2361,EL DORADO,6017,USA,38.92737812,-119.9719451
OHLONE COLLEGE,43600 MISSION BLVD,FREMONT,CA,94539,9967,ALAMEDA,6001,USA,37.52773017,-121.9163395
PALOMAR COLLEGE,1140 W. MISSION,SAN MARCOS,CA,92069,25328,SAN DIEGO,6073,USA,33.15018958,-117.181718
SIERRA COLLEGE,5100 SIERRA COLLEGE BLVD,ROCKLIN,CA,95677,19400,PLACER,6061,USA,38.79146678,-121.2115336
STATE CENTER COMMUNITY COLLEGE DISTRICT,1525 E. WELDON AVENUE,FRESNO,CA,93704,-999,FRESNO,6019,USA,36.76886523,-119.7925854
ARAPAHOE COMMUNITY COLLEGE,5900 S. SANTA FE DR.,LITTLETON,CO,80160,13124,ARAPAHOE,8005,USA,39.60750518,-105.018631
COLORADO MOUNTAIN COLLEGE,802 GRAND AVE.,GLENWOOD SPRINGS,CO,81601,7131,GARFIELD,8045,USA,39.546376,-107.324418
COMMUNITY COLLEGE OF AURORA,16000 E CENTRETECH PKY,AURORA,CO,80011,8597,ARAPAHOE,8005,USA,39.71747202,-104.8019657
AURORA UNIVERSITY,347 S GLADSTONE AVE,AURORA,IL,60506,6625,KANE,17089,USA,41.75435821,-88.34944512
BLACK HAWK COLLEGE,6600-34TH AVENUE,MOLINE,IL,61265,5411,ROCK ISLAND,17161,USA,41.47705371,-90.45105267
GREENVILLE UNIVERSITY,315 E. COLLEGE AVE,GREENVILLE,IL,62246,1527,BOND,17005,USA,38.89534285,-89.40897712
LEWIS AND CLARK COMMUNITY COLLEGE,5800 GODFREY RD,GODFREY,IL,62035,7649,MADISON,17119,USA,38.95162377,-90.19440468
DRAKE UNIVERSITY,2507 UNIVERSITY AVENUE,DES MOINES,IA,50311,6121,POLK,19153,USA,41.60355009,-93.65390882
GRAND VIEW UNIVERSITY,1200 GRANDVIEW AVE,DES MOINES,IA,50316,2218,POLK,19153,USA,41.62020458,-93.60278882
IOWA WESTERN COMMUNITY COLLEGE,2700 COLLEGE RD,COUNCIL BLUFFS,IA,51503,6921,POTTAWATTAMIE,19155,USA,41.27328016,-95.80101443
NASHVILLE STATE COMMUNITY COLLEGE,120 WHITE BRIDGE RD,NASHVILLE,TN,37209,8870,DAVIDSON,47037,USA,36.13545323,-86.85672252
LYNDON STATE COLLEGE,1001 COLLEGE RD,LYNDONVILLE,VT,5851,1361,CALEDONIA,50005,USA,44.53416498,-72.02459651
NORWICH UNIVERSITY,158 HARMON DRIVE,NORTHFIELD,VT,5663,4945,WASHINGTON,50023,USA,44.13798629,-72.65952221
GERMANNA COMMUNITY COLLEGE,2130 GERMANNA HWY,LOCUST GROVE,VA,22508,7265,ORANGE,51137,USA,38.37555581,-77.78013237
LORD FAIRFAX COMMUNITY COLLEGE,173 SKIRMISHER LANE,MIDDLETOWN,VA,22645,7501,FREDERICK,51069,USA,39.03600111,-78.26732474
RAPPAHANNOCK COMMUNITY COLLEGE,12745 COLLEGE DRIVE,GLENNS,VA,23149,3519,GLOUCESTER,51073,USA,37.56443299,-76.62391496
RICHARD BLAND COLLEGE OF WILLIAM AND MARY,11301 JOHNSON RD.,SOUTH PRINCE GEORGE,VA,23805,2692,DINWIDDIE,51053,USA,37.15696239,-77.39992329
GREEN RIVER COLLEGE,12401 SE 320TH ST,AUBURN,WA,98092,8824,KING,53033,USA,47.31318153,-122.1782221
WENATCHEE VALLEY COLLEGE,1300 FIFTH ST,WENATCHEE,WA,98801,3946,CHELAN,53007,USA,47.43085953,-120.3346463
UNIVERSITY OF WISCONSIN COLLEGES,780 REGENT ST,MADISON,WI,53708,12440,DANE,55025,USA,43.06824159,-89.39874072
CHIPPEWA VALLEY TECHNICAL COLLEGE,620 W CLAIREMONT AVE,EAU CLAIRE,WI,54701,7907,EAU CLAIRE,55035,USA,44.79486721,-91.50567549
WESTERN TECHNICAL COLLEGE,400 SEVENTH ST. NORTH,LA CROSSE,WI,54601,5045,LA CROSSE,55063,USA,43.81530941,-91.24619136
UNIVERSITY OF WISCONSIN-PLATTEVILLE,1 UNIVERSITY PLAZA,PLATTEVILLE,WI,53818,9551,GRANT,55043,USA,42.73423024,-90.48791959
VATTEROTT COLLEGE-DES MOINES,7000 FLEUR DRIVE,DES MOINES,IA,50321,47,POLK,19153,USA,41.51986714,-93.64590132
VIRGINIA COLLEGE-HUNTSVILLE,"2021 DRAKE AVENUE, SW",HUNTSVILLE,AL,35801,572,MADISON,1089,USA,34.70345656,-86.59091364
ARKANSAS STATE UNIVERSITY-NEWPORT,7648 VICTORY BLVD,NEWPORT,AR,72112,2790,JACKSON,5067,USA,35.63873338,-91.18883386
FOLSOM LAKE COLLEGE,10 COLLEGE PARKWAY,FOLSOM,CA,95630,9148,SACRAMENTO,6067,USA,38.66231949,-121.1272561
UNIVERSITY OF NEW ENGLAND,11 HILLS BEACH RD,BIDDEFORD,ME,4005,9647,YORK,23031,USA,43.45859119,-70.3853495
UNIVERSITY OF SOUTHERN MAINE,96 FALMOUTH ST,PORTLAND,ME,4103,9319,CUMBERLAND,23005,USA,43.6622514,-70.27607288
